Product_ID,SKU,Product_Name,Category,Unit_Price,image_url
NK001,CT2302-100,Nike Air Force 1 '07,Footwear,115,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/a42a5d53-2f99-4e78-a081-9d07a2d0774a/AIR+FORCE+1+%2707.png"
NK002,CN8490-100,Nike Air Max 90,Footwear,135,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b72ed14d-f0e6-4f26-89bc-5cf567f874ae/AIR+MAX+90.png"
NK003,IH7855-100,Nike Air Max 95 OG,Footwear,190,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco%2Cu_9ddf04c7-2a9a-4d76-add1-d15af8f0263d%2Cc_scale%2Cfl_relative%2Cw_1.0%2Ch_1.0%2Cfl_layer_apply/ca9fcdc0-a84e-478e-b370-2d396d50e369/AIR%2BMAX%2B95%2BBIG%2BBUBBLE.png
NK004,HF5441-100,Nike Dunk Low Retro,Footwear,120,https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/a/d/ad22b92Nike-HF5441-100_1.jpg?rnd=20200526195200&tr=w-128
NK005,IB4505-803,Nike Air Max Dn,Footwear,170,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_386,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/694d39be-6539-4a36-8af1-27ee57aaf951/AIR+MAX+DN.png"
NK006,IB1873-101,Nike Pegasus 42,Footwear,145,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d22f9627-9d9c-46c7-aa7f-b65b0714ddd5/AIR+ZOOM+PEGASUS+42.png"
NK007,IV5666-097,Nike Vomero 18,Footwear,165,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/37fa419f-cc09-4389-9a47-13f409a9e8a8/NIKE+VOMERO+18.png"
NK008,II7405-002,Nike Free Metcon 7,Footwear,125,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco%2Cu_9ddf04c7-2a9a-4d76-add1-d15af8f0263d%2Cc_scale%2Cfl_relative%2Cw_1.0%2Ch_1.0%2Cfl_layer_apply/448311e0-fd8d-4d2d-9613-2bba83da7e2a/NIKE%2BFREE%2BMETCON%2B7.png
NK009,DX0989-100,Nike Dri-FIT Legend T-Shirt,Apparel,32,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco%2Cu_9ddf04c7-2a9a-4d76-add1-d15af8f0263d%2Cc_scale%2Cfl_relative%2Cw_1.0%2Ch_1.0%2Cfl_layer_apply/e5f4d5bc-290c-4ba3-9f63-03e2b2bd5135/M%2BNK%2BDF%2BTEE%2BRLGD%2BRESET.png
NK010,BV2654-010,Nike Sportswear Club Fleece Hoodie,Apparel,65,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_386,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/136c17a4-16c0-47ce-b922-679098771a7d/M+NSW+CLUB+HOODIE+PO+BB.png"
NK011,IF1319-010,Nike Tech Fleece Full-Zip Hoodie,Apparel,155,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco/13a659a8-5755-48ba-b31e-3b9ad1c66fdd/M%2BNK%2BTCH%2BFLC%2BERGO%2BFZ.png
NK012,DV9742-060,Nike Dri-FIT Academy Shorts,Apparel,30,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco/41567a06-2978-44d3-81f8-5570d75e629b/M%2BNK%2BDF%2BACD23%2BSHORT%2BK%2BBR.png
NK013,FB8002-063,Nike Sportswear Tech Fleece Joggers,Apparel,125,https://static.nike.com/a/images/t_PDP_144_v1/f_auto%2Cq_auto%3Aeco/8430bf91-7f0c-4749-b1d8-d93375980b61/M%2BNK%2BTCH%2BFLC%2BJGGR.png
NK014,IR6946-323,Nike Sportswear Windrunner Jacket,Apparel,115,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/74e4c3af-e8e8-497b-ace6-3c90d424b659/M+NK+WR+LND+JKT+26+FTBL+MXCO+A.png"
NK015,SX6899-010,Nike Everyday Plus Cushioned Socks,Accessories,28,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/frl5zub8wy7ik9jrpjij/U+NK+EVRY+PLS+CUSH+ANKL+6PR-BD.png"
NK016,IB4343-654,Nike Heritage Backpack 2.0,Accessories,40,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_599,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c40684f8-d7a2-4cee-871a-266875b23d2e/NK+HERITAGE+BACKPACK+2.0.png"
NK017,IB4392-072,Nike Brasilia Training Duffel Bag,Accessories,50,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_386,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/69b6f72b-ff58-44b8-9347-e606112d3325/NK+BRSLA+M+DUFF+-+X.png"
NK018,FB5368-010,Nike Club Unstructured Futura Wash Cap,Accessories,28,"https://static.nike.com/a/images/q_auto:eco/t_product_v1/f_auto/dpr_1.0/h_386,c_limit/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/53667a7c-ce9c-42c3-a533-ffba6eb8f88a/U+NK+CLUB+CAP+U+CB+FUT+WSH+L.png"
NK019,AC9710-032,Nike Hypercharge Straw Bottle,Accessories,20,https://cdn.plutosport.com/a/ProductMedia/Nike/P.NIKE.BOT.1550/Nike-Hypercharge-Straw-Bottle-Drinkfles-710ml_7.jpg?33=&profile=product_base_image
NK020,N.YE.02.068.OS,Nike Fundamental Yoga Mat,Accessories,30,https://images.bike24.com/i/mb/f1/b1/14/nike-yoga-mat-4mm-reversible-anthracite-medium-grey-012-1-1769681.jpg
