Order_ID,Order_Date,Product_ID,Region,Store_Type,Units_Sold,Discount,Revenue,Profit,Customer_Age,Gender,Payment_Method
NKORD00001,2024-09-29,NK008,Europe,Outlet,2,0,250.0,79.09,31,Female,UPI
NKORD00002,2025-03-15,NK007,Asia-Pacific,Outlet,2,0,330.0,99.75,24,Female,Google Pay
NKORD00003,2023-04-04,NK016,North America,Online,1,5,38.0,11.42,35,Male,Credit Card
NKORD00004,2025-04-03,NK009,Asia-Pacific,Online,5,5,152.0,46.04,29,Male,Debit Card
NKORD00005,2023-03-08,NK001,North America,Online,4,20,368.0,110.27,23,Female,Google Pay
NKORD00006,2024-01-15,NK003,Asia-Pacific,Wholesale,2,5,361.0,108.78,33,Female,Credit Card
NKORD00007,2024-04-26,NK018,Asia-Pacific,Retail,2,0,56.0,12.51,23,Female,Google Pay
NKORD00008,2024-03-19,NK002,Latin America,Retail,1,10,121.5,40.49,28,Female,Debit Card
NKORD00009,2024-09-30,NK012,Asia-Pacific,Online,1,10,27.0,7.85,33,Female,Credit Card
NKORD00010,2023-12-31,NK017,North America,Online,2,20,80.0,15.07,25,Male,Apple Pay
NKORD00011,2024-07-20,NK015,Latin America,Online,2,5,53.2,18.02,18,Male,Apple Pay
NKORD00012,2025-08-07,NK002,Middle East & Africa,Retail,1,0,135.0,50.93,27,Female,Cash
NKORD00013,2023-07-14,NK008,North America,Online,3,40,225.0,53.48,19,Male,Debit Card
NKORD00014,2023-05-18,NK020,Europe,Online,3,20,72.0,14.29,42,Female,PayPal
NKORD00015,2025-06-18,NK006,Europe,Retail,1,5,137.75,42.55,23,Female,Debit Card
NKORD00016,2023-09-18,NK004,Middle East & Africa,Wholesale,2,0,240.0,69.67,34,Female,PayPal
NKORD00017,2024-04-06,NK019,North America,Retail,1,5,19.0,6.31,46,Male,UPI
NKORD00018,2025-06-23,NK004,North America,Outlet,3,5,342.0,86.03,24,Female,Apple Pay
NKORD00019,2023-11-09,NK004,Latin America,Online,5,10,540.0,152.65,25,Male,Debit Card
NKORD00020,2024-04-17,NK020,North America,Wholesale,3,0,90.0,26.8,32,Female,Credit Card
NKORD00021,2024-12-21,NK018,Europe,Outlet,2,10,50.4,15.02,50,Male,Google Pay
NKORD00022,2024-08-03,NK011,North America,Wholesale,5,10,697.5,145.36,27,Female,Apple Pay
NKORD00023,2024-01-13,NK006,Europe,Online,7,10,913.5,222.69,27,Female,UPI
NKORD00024,2024-07-20,NK009,Latin America,Retail,3,5,91.2,23.55,49,Female,Credit Card
NKORD00025,2023-01-05,NK009,Latin America,Retail,3,10,86.4,28.41,35,Female,UPI
NKORD00026,2023-08-10,NK012,Asia-Pacific,Retail,2,20,48.0,14.34,30,Male,Cash
NKORD00027,2023-11-09,NK004,Middle East & Africa,Outlet,1,10,108.0,25.3,28,Female,Cash
NKORD00028,2023-08-16,NK003,Asia-Pacific,Online,6,0,1140.0,319.62,34,Female,Credit Card
NKORD00029,2023-07-06,NK008,Latin America,Outlet,2,5,237.5,54.34,36,Male,Debit Card
NKORD00030,2023-09-03,NK009,North America,Retail,1,5,30.4,7.16,32,Male,Google Pay
NKORD00031,2024-07-24,NK003,Middle East & Africa,Outlet,1,10,171.0,56.82,28,Male,Credit Card
NKORD00032,2025-09-12,NK010,Latin America,Wholesale,5,10,292.5,50.34,20,Female,Google Pay
NKORD00033,2023-01-24,NK019,Latin America,Wholesale,4,10,72.0,19.25,30,Male,Debit Card
NKORD00034,2025-02-25,NK013,Latin America,Online,2,5,237.5,58.12,35,Female,NetBanking
NKORD00035,2024-04-13,NK010,North America,Wholesale,5,5,308.75,97.47,31,Male,Credit Card
NKORD00036,2023-03-08,NK010,North America,Retail,2,0,130.0,33.51,36,Other,UPI
NKORD00037,2023-12-25,NK006,Latin America,Retail,2,10,261.0,60.57,19,Male,Google Pay
NKORD00038,2025-03-24,NK008,Latin America,Wholesale,1,5,118.75,27.01,30,Male,Google Pay
NKORD00039,2025-05-08,NK010,Asia-Pacific,Outlet,1,5,61.75,19.74,33,Male,Credit Card
NKORD00040,2024-01-08,NK006,Europe,Online,3,0,435.0,119.7,35,Male,Apple Pay
NKORD00041,2023-08-31,NK002,Latin America,Online,3,10,364.5,110.85,27,Male,Apple Pay
NKORD00042,2025-06-14,NK004,Asia-Pacific,Wholesale,2,5,228.0,57.93,32,Male,Credit Card
NKORD00043,2023-09-29,NK002,Asia-Pacific,Online,4,20,432.0,113.31,31,Female,UPI
NKORD00044,2025-08-06,NK014,Europe,Outlet,2,20,184.0,45.24,38,Male,Debit Card
NKORD00045,2024-10-21,NK016,Asia-Pacific,Retail,4,0,160.0,47.53,22,Male,UPI
NKORD00046,2024-11-06,NK013,North America,Outlet,6,0,750.0,226.7,20,Male,Credit Card
NKORD00047,2023-08-24,NK001,Asia-Pacific,Online,1,5,109.25,31.72,29,Female,PayPal
NKORD00048,2024-12-28,NK001,Asia-Pacific,Retail,1,0,115.0,41.97,28,Male,Apple Pay
NKORD00049,2023-01-22,NK001,Europe,Outlet,3,0,345.0,101.95,23,Male,NetBanking
NKORD00050,2024-05-11,NK010,Europe,Retail,5,20,260.0,65.7,55,Female,Debit Card
NKORD00051,2023-12-02,NK017,Asia-Pacific,Retail,3,5,142.5,46.02,31,Male,UPI
NKORD00052,2024-09-14,NK020,Europe,Outlet,1,0,30.0,6.06,18,Female,UPI
NKORD00053,2025-04-14,NK006,Latin America,Retail,3,0,435.0,144.21,36,Male,Apple Pay
NKORD00054,2023-09-24,NK015,Latin America,Outlet,3,10,75.6,20.5,28,Female,Debit Card
NKORD00055,2023-01-30,NK002,Latin America,Online,2,5,256.5,98.85,31,Female,UPI
NKORD00056,2024-05-06,NK007,North America,Online,3,0,495.0,157.96,40,Female,NetBanking
NKORD00057,2024-01-11,NK015,Middle East & Africa,Outlet,1,40,16.8,2.77,37,Male,UPI
NKORD00058,2023-08-08,NK006,Asia-Pacific,Retail,1,10,130.5,46.61,25,Female,NetBanking
NKORD00059,2023-03-15,NK003,North America,Outlet,1,5,180.5,52.48,32,Female,Google Pay
